VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
3,2022-10-01T05:33:41.000+05:30,2022-10-01T05:48:39.000+05:30,1.0,1.7,1.0,N,249,107,1,9.5,3.0,0.5,2.65,0.0,0.3,15.95,2.5,0.0
3,2022-10-01T05:44:30.000+05:30,2022-10-01T05:49:48.000+05:30,2.0,0.72,1.0,N,151,238,2,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5,0.0
3,2022-10-01T05:57:13.000+05:30,2022-10-01T06:07:41.000+05:30,1.0,1.74,1.0,N,238,166,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,0.0,0.0
